size,lat,lon
6.183708040262722359290007799,33.48885,-111.92387
6.829515364111689613420171954,35.22024,-114.03585
5.829604759672770063422175648,33.60432,-112.28378
5.695389628092292777655284767,33.39097,-111.87638
3.641358312821838216099410459,34.13552,-114.28477
6.732955611399388811255901634,34.47988,-114.33938
5.363545625888175725389815753,33.60949,-112.18129
7.533907173877502987828953897,33.66596,-112.11618
5.862833733287883829684204367,33.65965,-112.37283
11.90292523583690117885866908,35.11068,-114.55505
